marketplace	marketplace_transaction_id	order_id	marketplace_sku	transaction_amount	transaction_type	transaction_date	transaction_group	remark	shipment_id	quantity	igst	cgst	sgst	tcs_igst	tcs_cgst	tcs_sgst	tds
JIOMART	9225121189	 	 	1050.98	Disbursement	2023-01-18T08:04:56.000+05:30	settlement	 	 	 	 	 	 	 	 	 	 
JIOMART	9225121189	 16726516960168342A	C20	275.89	Order	2023-01-02T15:42:27.000+05:30	sale	 	16726517081991619685J	1	33.11	0	0	-2.76	0	0	-2.76
JIOMART	9225121189	 16728530430347299A	Fc_03	160.17	Order	2023-01-05T10:36:43.000+05:30	sale	 	16728530526801010598J	1	28.83	0	0	-1.6	0	0	-1.6
JIOMART	9225121189	 16729807550075558M	Fc_03	160.16	Order	2023-01-06T12:26:19.000+05:30	sale	 	16729840172001357702J	1	0	14.42	14.42	0	-0.8	-0.8	-1.6
JIOMART	9225121189	 16727344170156277A	A01	129.46	Order	2023-01-03T14:29:18.000+05:30	sale	 	16727344293081191644J	1	15.54	0	0	-1.29	0	0	-1.29
JIOMART	9225121189	 16729751350047463A	NS9	311.61	Order	2023-01-06T10:30:50.000+05:30	sale	 	16729751435941965125J	1	37.39	0	0	-3.12	0	0	-3.12
JIOMART	9225121189	 16726391130096875M	S72	585.59	Order	2023-01-02T12:20:54.000+05:30	sale	 	16726391325811868168J	1	105.41	0	0	-5.86	0	0	-5.86
JIOMART	9225121189	 16729807550075558M	Fc_03	-3.78	Seller_Commision	2023-01-15T18:28:50.000+05:30	commision	RR27RKWANUC0291 	16729840172001357702J	1	-0.68	0	0	0	0	0	0
JIOMART	9225121189	 16729807550075558M	Fc_03	-15	Fixed_fee	2023-01-15T18:28:50.000+05:30	commision	 RR27RKWANUC0291	16729840172001357702J	1	-2.7	0	0	0	0	0	0
JIOMART	9225121189	 16729807550075558M	Fc_03	0	Collection_fee_charge	2023-01-15T18:28:50.000+05:30	commision	RR27RKWANUC0291 	16729840172001357702J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16729807550075558M	Fc_03	-61	Forward_logistics_fee_charge	2023-01-15T18:28:50.000+05:30	commision	 RR27RKWANUC0291	16729840172001357702J	1 	-10.98	0	0	0	0	0	0
JIOMART	9225121189	 16729807550075558M	Fc_03	0	Shipping_delay_penalty_fee_charge	2023-01-15T18:28:50.000+05:30	commision	 RR27RKWANUC0291	16729840172001357702J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16729807550075558M	Fc_03	0	 reverse_logistics_fee_charge	2023-01-15T18:28:50.000+05:30	commision	RR27RKWANUC0291 	16729840172001357702J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16726391130096875M	S72	-65.64	Seller_Commision	2023-01-15T15:01:12.000+05:30	commision	RR27RKWANUC0291 	16726391325811868168J	1	-11.82	0	0	0	0	0	0
JIOMART	9225121189	 16726391130096875M	S72	-20	Fixed_fee	2023-01-15T15:01:12.000+05:30	commision	RR27RKWANUC0291 	16726391325811868168J	1	-3.6	0	0	0	0	0	0
JIOMART	9225121189	 16726391130096875M	S72	0	Collection_fee_charge	2023-01-15T15:01:12.000+05:30	commision	 RR27RKWANUC0291	16726391325811868168J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16726391130096875M	S72	-112	Forward_logistics_fee_charge	2023-01-15T15:01:12.000+05:30	commision	RR27RKWANUC0291 	16726391325811868168J	1 	-20.16	0	0	0	0	0	0
JIOMART	9225121189	 16726391130096875M	S72	0	Shipping_delay_penalty_fee_charge	2023-01-15T15:01:12.000+05:30	commision	RR27RKWANUC0291 	16726391325811868168J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16726391130096875M	S72	0	 reverse_logistics_fee_charge	2023-01-15T15:01:12.000+05:30	commision	 RR27RKWANUC0291	16726391325811868168J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16726516960168342A	C20	-6.18	Seller_Commision	2023-01-15T10:20:13.000+05:30	commision	RR27RKWANUC0291 	16726517081991619685J	1	-1.12	0	0	0	0	0	0
JIOMART	9225121189	 16726516960168342A	C20	-15	Fixed_fee	2023-01-15T10:20:13.000+05:30	commision	RR27RKWANUC0291 	16726517081991619685J	1	-2.7	0	0	0	0	0	0
JIOMART	9225121189	 16726516960168342A	C20	0	Collection_fee_charge	2023-01-15T10:20:13.000+05:30	commision	 RR27RKWANUC0291	16726517081991619685J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16726516960168342A	C20	-112	Forward_logistics_fee_charge	2023-01-15T10:20:13.000+05:30	commision	RR27RKWANUC0291 	16726517081991619685J	1 	-20.16	0	0	0	0	0	0
JIOMART	9225121189	 16726516960168342A	C20	0	Shipping_delay_penalty_fee_charge	2023-01-15T10:20:13.000+05:30	commision	RR27RKWANUC0291 	16726517081991619685J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16726516960168342A	C20	0	 reverse_logistics_fee_charge	2023-01-15T10:20:13.000+05:30	commision	 RR27RKWANUC0291	16726517081991619685J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16727344170156277A	A01	-2.9	Seller_Commision	2023-01-15T16:52:56.000+05:30	commision	RR27RKWANUC0291 	16727344293081191644J	1	-0.52	0	0	0	0	0	0
JIOMART	9225121189	 16727344170156277A	A01	-15	Fixed_fee	2023-01-15T16:52:56.000+05:30	commision	RR27RKWANUC0291 	16727344293081191644J	1	-2.7	0	0	0	0	0	0
JIOMART	9225121189	 16727344170156277A	A01	0	Collection_fee_charge	2023-01-15T16:52:56.000+05:30	commision	 RR27RKWANUC0291	16727344293081191644J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16727344170156277A	A01	-46	Forward_logistics_fee_charge	2023-01-15T16:52:56.000+05:30	commision	RR27RKWANUC0291 	16727344293081191644J	1 	-8.28	0	0	0	0	0	0
JIOMART	9225121189	 16727344170156277A	A01	0	Shipping_delay_penalty_fee_charge	2023-01-15T16:52:56.000+05:30	commision	RR27RKWANUC0291 	16727344293081191644J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16727344170156277A	A01	0	 reverse_logistics_fee_charge	2023-01-15T16:52:56.000+05:30	commision	 RR27RKWANUC0291	16727344293081191644J	1	0	0	0	0	0	0	0
JIOMART	9225121189	 16728530430347299A	Fc_03	-3.78	Seller_Commision	2023-01-15T12:00:11.000+05:30	commision	RR27RKWANUC0291 	16728530526801010598J	1	-0.68	0	0	0	0	0	0
JIOMART	9225121189	 16728530430347299A	Fc_03	-15	Fixed_fee	2023-01-15T12:00:11.000+05:30	commision	RR27RKWANUC0291 	16728530526801010598J	1	-2.7	0	0	0	0	0	0
JIOMART	9225121189	 16728530430347299A	Fc_03	0	Collection_fee_charge	2023-01-15T12:00:11.000+05:30	commision	 RR27RKWANUC0291	16728530526801010598J	1	0	0	0	0	0	0	0
